food,serving-size,calories,calories-from-fat,fat,cholesterol,sodium,sugar,protein
Hamburger,98,240,70,8,30,480,6,12
Cheeseburger,113,290,100,11,45,680,7,15
Grilled Chicken Sandwich,200,350,80,9,65,820,8,28
Chicken Nuggets,65,190,110,12,25,360,0,9
Bacon Egg & Cheese Sandwich,150,460,230,26,250,1300,3,19
Burrito,111,300,150,16,115,790,2,12
Oatmeal & Fruit,251,290,35,4,5,160,32,5
Garden Salad,230,140,40,4.5,10,150,6,6
Chicken Salad,335,290,80,8,70,680,10,27
French Fries,75,230,100,11,0,130,0,2
